timestamp(s),nodeId,src,dst,seq,ttl,hops,rssi(dBm),battery(mV),score,sf,energyJ,energyFrac,forwarded
434.740307868,2,5,2,33,63,0,0,0,0,12,38876.361938673,0.999906428,0
435.425341154,2,4,2,29,63,0,0,0,0,12,38876.353038237,0.999906200,0
439.174904380,5,7,5,29,63,0,0,0,0,12,38875.994056330,0.999896966,0
439.404519061,0,3,0,28,63,0,0,0,0,12,38876.747726693,0.999916351,0
440.633247551,2,1,2,30,63,0,0,0,0,12,38876.342509567,0.999905929,0
442.017718063,2,0,8,27,63,0,0,0,0,12,38876.333357333,0.999905693,1
442.157495244,8,0,8,27,62,1,0,0,0,12,38876.343194629,0.999905946,0
442.317751383,7,2,7,30,63,0,0,0,0,12,38875.641082217,0.999887888,0
444.353065767,7,6,0,29,63,0,0,0,0,12,38875.631695680,0.999887646,1
444.492843087,0,6,0,29,62,1,0,0,0,12,38876.668204016,0.999914306,0
444.740308113,1,5,1,34,63,0,0,0,0,12,38875.658357553,0.999888332,0
445.425340909,3,4,3,30,63,0,0,0,0,12,38875.296771165,0.999879032,0
449.404519061,6,3,6,29,63,0,0,0,0,12,38875.854127205,0.999893367,0
449.404519306,7,3,6,29,63,0,0,0,0,12,38875.491803045,0.999884048,1
450.633247796,5,1,8,31,63,0,0,0,0,12,38875.851663678,0.999893304,1
450.773024388,8,1,8,31,62,1,0,0,0,12,38876.236440687,0.999903201,0
452.284525448,1,2,1,31,63,0,0,0,0,12,38875.551989282,0.999885596,0
454.353065767,7,6,7,30,63,0,0,0,0,12,38875.412330688,0.999882004,0
455.425340909,1,4,1,31,63,0,0,0,0,12,38875.542204765,0.999885345,0
459.404519061,6,3,6,30,63,0,0,0,0,12,38875.746874853,0.999890609,0
459.404519306,7,3,6,30,63,0,0,0,0,12,38875.332821285,0.999879959,1
460.633247551,2,1,2,32,63,0,0,0,0,12,38876.058967807,0.999898636,0
462.017718063,2,0,5,29,63,0,0,0,0,12,38876.049815573,0.999898401,1
462.157494653,5,0,5,29,62,1,0,0,0,12,38875.666171717,0.999888533,0
462.317751383,3,2,3,32,63,0,0,0,0,12,38875.092039017,0.999873766,0
465.425341155,8,4,8,32,63,0,0,0,0,12,38876.041168797,0.999898178,0
469.174904726,1,7,1,32,63,0,0,0,0,12,38875.407641098,0.999881884,0
469.404519061,4,3,4,31,63,0,0,0,0,12,38874.524904677,0.999859180,0
472.017717472,3,0,3,30,63,0,0,0,0,12,38874.993548501,0.999871233,0
472.284525448,1,2,6,33,63,0,0,0,0,12,38875.328830754,0.999879857,1
474.353065767,3,6,3,32,63,0,0,0,0,12,38874.975400128,0.999870766,0
474.740307868,2,5,2,37,63,0,0,0,0,12,38875.812162801,0.999892288,0
475.425341154,2,4,2,33,63,0,0,0,0,12,38875.803262365,0.999892059,0
480.633247551,4,1,4,34,63,0,0,0,0,12,38874.408556158,0.999856187,0
482.017717472,3,0,4,31,63,0,0,0,0,12,38874.877642325,0.999868252,1
482.017717717,4,0,4,31,63,0,0,0,0,12,38874.399403925,0.999855952,0
484.353065767,7,6,7,33,63,0,0,0,0,12,38875.037185344,0.999872356,0
485.425341154,0,4,0,34,63,0,0,0,0,12,38876.178835101,0.999901719,0
492.017717472,1,0,6,32,63,0,0,0,0,12,38875.031021909,0.999872197,1
492.017718063,6,0,6,32,63,0,0,0,0,12,38875.394718101,0.999881551,0
494.353066012,4,6,4,34,63,0,0,0,0,12,38874.182128896,0.999850363,0
495.425340909,3,4,3,35,63,0,0,0,0,12,38874.634393053,0.999861996,0
499.404519061,4,3,4,34,63,0,0,0,0,12,38874.093965669,0.999848096,0
502.017717472,1,0,1,33,63,0,0,0,0,12,38874.872040149,0.999868108,0
502.284525693,4,2,8,36,63,0,0,0,0,12,38874.066967394,0.999847401,1
502.284526039,8,2,8,36,63,0,0,0,0,12,38875.689875042,0.999889143,0
504.353066847,2,6,2,35,63,0,0,0,0,12,38875.459067904,0.999883206,0
505.425341155,8,4,8,36,63,0,0,0,0,12,38875.602399645,0.999886893,0
509.174904380,5,7,5,36,63,0,0,0,0,12,38875.091765002,0.999873759,0
509.404519652,5,3,5,35,63,0,0,0,0,12,38875.083028516,0.999873535,0
512.017717472,1,0,1,34,63,0,0,0,0,12,38874.773441621,0.999865572,0
512.284525448,1,2,6,37,63,0,0,0,0,12,38874.764691746,0.999865347,1
514.353066012,4,6,4,36,63,0,0,0,0,12,38873.881279488,0.999842626,0
515.425340909,1,4,1,37,63,0,0,0,0,12,38874.685870173,0.999863320,0
519.174904380,3,7,3,37,63,0,0,0,0,12,38874.418538506,0.999856444,0
519.404519306,7,3,5,36,63,0,0,0,0,12,38874.574982693,0.999860468,1
520.633247796,3,1,3,38,63,0,0,0,0,12,38874.340322622,0.999854432,0
522.017717717,4,0,4,35,63,0,0,0,0,12,38873.766214037,0.999839666,0
522.017718202,5,0,4,35,63,0,0,0,0,12,38874.966181589,0.999870529,1
525.425341154,2,4,2,38,63,0,0,0,0,12,38875.235523357,0.999877457,0
529.174904726,1,7,2,38,63,0,0,0,0,12,38874.559960330,0.999860081,1
529.174904865,2,7,2,38,63,0,0,0,0,12,38875.225519690,0.999877200,0
529.404519061,6,3,6,37,63,0,0,0,0,12,38874.992610917,0.999871209,0
530.633248142,7,1,7,39,63,0,0,0,0,12,38874.415558590,0.999856367,0
534.353065767,7,6,0,38,63,0,0,0,0,12,38874.405565632,0.999856110,1
535.425341154,2,4,2,39,63,0,0,0,0,12,38875.136924829,0.999874921,0
539.404519061,0,3,0,38,63,0,0,0,0,12,38875.652739173,0.999888188,0
540.633247551,2,1,2,40,63,0,0,0,0,12,38875.109088510,0.999874205,0
542.017717472,3,0,3,37,63,0,0,0,0,12,38874.090704213,0.999848012,0
542.284525693,4,2,8,40,63,0,0,0,0,12,38873.542959458,0.999833924,1
542.424302529,8,2,8,40,62,1,0,0,0,12,38875.295430611,0.999878998,0
544.353065767,3,6,1,39,63,0,0,0,0,12,38874.040152384,0.999846712,1
544.492842602,1,6,1,39,62,1,0,0,0,12,38874.243682352,0.999851947,0
545.425340909,5,4,5,40,63,0,0,0,0,12,38874.589359069,0.999860837,0
545.425340909,7,4,5,40,63,0,0,0,0,12,38874.219683421,0.999851329,1
550.633247551,0,1,0,41,63,0,0,0,0,12,38875.497724926,0.999884201,0
550.633247551,4,1,0,41,63,0,0,0,0,12,38873.278155006,0.999827113,1
552.017717472,3,0,3,38,63,0,0,0,0,12,38873.867648213,0.999842275,0
552.284525693,4,2,6,41,63,0,0,0,0,12,38873.194713314,0.999824967,1
552.424302528,6,2,6,41,62,1,0,0,0,12,38874.695084243,0.999863557,0
554.353065767,3,6,1,40,63,0,0,0,0,12,38873.840293056,0.999841571,1
554.353066497,1,6,1,40,63,0,0,0,0,12,38874.077742144,0.999847679,0
555.425341155,8,4,8,41,63,0,0,0,0,12,38875.030416669,0.999872181,0
559.174904726,1,7,1,41,63,0,0,0,0,12,38874.050044810,0.999846966,0
559.404519061,6,3,6,40,63,0,0,0,0,12,38874.588366053,0.999860812,0
560.633247551,0,1,0,42,63,0,0,0,0,12,38875.399126398,0.999881665,0
560.633247551,4,1,0,42,63,0,0,0,0,12,38873.018465406,0.999820434,1
562.284525448,5,2,5,42,63,0,0,0,0,12,38874.307487138,0.999853588,0
564.353065767,3,6,1,41,63,0,0,0,0,12,38873.664003648,0.999837037,1
564.492842602,1,6,1,41,62,1,0,0,0,12,38873.944478000,0.999844251,0
565.425340909,7,4,7,42,63,0,0,0,0,12,38873.852188509,0.999841877,0
569.174904135,4,7,4,42,63,0,0,0,0,12,38872.860008650,0.999816358,0
570.633247551,4,1,8,43,63,0,0,0,0,12,38872.842175998,0.999815900,1
570.633248282,8,1,8,43,63,0,0,0,0,12,38874.903981822,0.999868930,0
572.017718063,2,0,2,40,63,0,0,0,0,12,38874.703792277,0.999863781,0
572.284525448,1,2,1,43,63,0,0,0,0,12,38873.838020642,0.999841513,0
572.284525693,4,2,1,43,63,0,0,0,0,12,38872.763890658,0.999813886,1
574.353065767,3,6,3,42,63,0,0,0,0,12,38873.496368064,0.999832726,0
574.740308113,7,5,7,47,63,0,0,0,0,12,38873.745182769,0.999839125,0
575.425340909,7,4,7,43,63,0,0,0,0,12,38873.736282333,0.999838896,0
579.174904865,0,7,0,43,63,0,0,0,0,12,38875.185146698,0.999876161,0
579.404519061,0,3,0,42,63,0,0,0,0,12,38875.176410213,0.999875936,0
580.633247551,4,1,4,44,63,0,0,0,0,12,38872.605503358,0.999809812,0
582.284526178,3,2,3,44,63,0,0,0,0,12,38873.398514210,0.999830209,0
584.353065767,3,6,3,43,63,0,0,0,0,12,38873.389115712,0.999829967,0
585.425340909,1,4,1,44,63,0,0,0,0,12,38873.712329949,0.999838280,0
589.174904865,0,7,0,44,63,0,0,0,0,12,38875.086548170,0.999873625,0
589.404519061,6,3,6,43,63,0,0,0,0,12,38874.283916645,0.999852981,0
592.017717717,4,0,8,42,63,0,0,0,0,12,38872.489098773,0.999806818,1
592.157494553,8,0,8,42,62,1,0,0,0,12,38874.680274565,0.999863176,0
594.353066012,4,6,2,44,63,0,0,0,0,12,38872.419220992,0.999805021,1
594.740308459,3,5,3,49,63,0,0,0,0,12,38873.264416304,0.999826760,0
600.633247551,2,1,5,46,63,0,0,0,0,12,38874.469071870,0.999857744,1
600.633247796,5,1,5,46,63,0,0,0,0,12,38873.896379838,0.999843014,0
602.017717472,1,0,1,43,63,0,0,0,0,12,38873.525013461,0.999833462,0
602.284525448,5,2,0,46,63,0,0,0,0,12,38873.869823906,0.999842331,1
602.284526039,0,2,0,46,63,0,0,0,0,12,38874.883177826,0.999868394,0
604.353066012,4,6,4,45,63,0,0,0,0,12,38872.228568448,0.999800118,0
604.740308113,1,5,1,50,63,0,0,0,0,12,38873.465668400,0.999831936,0
605.425340909,1,4,1,46,63,0,0,0,0,12,38873.456767965,0.999831707,0
609.174904380,3,7,3,46,63,0,0,0,0,12,38873.105856394,0.999822681,0
609.404519306,7,3,7,45,63,0,0,0,0,12,38873.356207012,0.999829121,0
610.633247551,4,1,8,47,63,0,0,0,0,12,38872.074423294,0.999796153,1
610.633248282,8,1,8,47,63,0,0,0,0,12,38874.440357118,0.999857005,0
614.353065767,7,6,8,46,63,0,0,0,0,12,38873.277647040,0.999827100,1
614.353066358,8,6,8,46,63,0,0,0,0,12,38874.407900159,0.999856170,0
614.492842357,4,6,8,46,62,1,0,0,0,12,38871.963672176,0.999793304,1
619.174904135,4,7,4,47,63,0,0,0,0,12,38871.823912522,0.999789710,0
619.404519306,1,3,1,46,63,0,0,0,0,12,38873.311808932,0.999827979,0
620.633247551,4,1,4,48,63,0,0,0,0,12,38871.806079870,0.999789251,0
622.284525448,5,2,5,48,63,0,0,0,0,12,38873.551666850,0.999834148,0
624.353065767,3,6,3,47,63,0,0,0,0,12,38872.869517632,0.999816603,0
624.740308598,0,5,0,52,63,0,0,0,0,12,38874.568919792,0.999860312,0
625.425341154,2,4,2,48,63,0,0,0,0,12,38874.052532253,0.999847030,0
629.404519061,6,3,6,47,63,0,0,0,0,12,38873.771507044,0.999839802,0
629.404519306,7,3,6,47,63,0,0,0,0,12,38873.030502052,0.999820743,1
630.633247551,2,1,5,49,63,0,0,0,0,12,38874.042003582,0.999846759,1
630.633247796,5,1,5,49,63,0,0,0,0,12,38873.445008958,0.999831405,0
634.353065767,7,6,2,48,63,0,0,0,0,12,38872.951029696,0.999818699,1
634.492842357,4,6,2,48,62,1,0,0,0,12,38871.654168944,0.999785344,1
634.492843087,2,6,2,48,62,1,0,0,0,12,38873.902540016,0.999843172,0
634.826449942,4,8,4,50,63,0,0,0,0,12,38871.585011789,0.999783565,0
