timestamp(s),nodeId,src,seq,dst,ttl,hops,rssi(dBm),battery(mV),score,sf,energyJ,energyFrac,forwarded,ok
224.600531278,5,5,12,7,63,0,0,4200,75,8,38878.634369473,0.999964876,0,1
224.686673106,8,8,9,0,63,0,0,4200,75,8,38878.769310814,0.999968346,0,1
225.285564319,4,4,8,7,63,0,0,4200,75,8,38878.571898157,0.999963269,0,1
229.035127545,7,7,8,1,63,0,0,4200,75,8,38878.762599962,0.999968174,0,1
229.174904135,4,7,8,1,62,1,0,4200,72,8,38878.501460938,0.999961457,1,1
229.264742471,3,3,7,2,63,0,0,4200,75,8,38878.725789237,0.999967227,0,1
230.493470961,1,1,9,5,63,0,0,4200,75,8,38878.526759374,0.999962108,0,1
231.877940882,0,0,6,4,63,0,0,4200,75,8,38879.012766117,0.999974608,0,1
232.144748858,2,2,9,7,63,0,0,4200,75,8,38878.787386098,0.999968811,0,1
234.213289177,6,6,8,5,63,0,0,4200,75,8,38878.665858832,0.999965686,0,1
234.600531278,5,5,13,1,63,0,0,4200,75,8,38878.527117121,0.999962117,0,1
234.686673106,8,8,10,0,63,0,0,4200,75,8,38878.653404638,0.999965365,0,1
235.285564319,4,4,9,1,63,0,0,4200,75,8,38878.404262573,0.999958957,0,1
239.035127545,7,7,9,1,63,0,0,4200,75,8,38878.646693786,0.999965193,0,1
239.174904135,4,7,9,1,62,1,0,4200,72,8,38878.333825354,0.999957146,1,1
239.264742471,3,3,8,1,63,0,0,4200,75,8,38878.609883061,0.999964246,0,1
240.493470961,1,1,10,7,63,0,0,4200,75,8,38878.436814670,0.999959795,0,1
240.633247551,4,1,10,7,62,1,0,4200,72,8,38878.264263295,0.999955357,1,1
241.877940882,0,0,7,7,63,0,0,4200,75,8,38878.914167589,0.999972072,0,1
242.017717717,4,0,7,7,62,1,0,4200,72,8,38878.194727829,0.999953568,1,1
242.144748858,2,2,10,6,63,0,0,4200,75,8,38878.671479922,0.999965830,0,1
242.414766730,0,0,5,65535,63,0,0,4200,0,7,38878.881570876,0.999971234,0,1
242.807546093,1,1,5,65535,63,0,0,4200,0,7,38878.381114147,0.999958362,0,1
243.595940747,3,3,5,65535,63,0,0,4200,0,8,38878.516822773,0.999961852,0,1
244.213289177,6,6,9,4,63,0,0,4200,75,8,38878.549399696,0.999962690,0,1
244.353065767,3,6,9,4,62,1,0,4200,72,8,38878.447513152,0.999960070,1,1
