timestamp(s),nodeId,destination,nextHop,hops,score,seq,action
564.213289177,6,1,3,2,2,9,USED
564.600531278,5,0,0,1,1,6,USED
564.686673106,8,4,4,1,1,9,USED
565.285564319,4,7,7,1,1,9,USED
569.035127545,7,4,4,1,1,9,USED
569.264742471,3,8,8,1,1,9,USED
570.493470961,1,8,4,2,2,9,USED
571.877940882,0,2,2,1,1,7,USED
572.144748858,2,1,4,2,2,9,USED
574.213289177,6,3,3,1,1,9,USED
574.600531278,5,7,7,1,1,9,USED
574.686673106,8,2,2,1,1,9,USED
575.285564319,4,7,7,1,1,9,USED
579.035127545,7,0,0,1,1,6,USED
579.264742471,3,0,0,1,1,8,USED
580.493470961,1,4,4,1,1,9,USED
581.877940882,0,2,2,1,1,7,USED
582.144748858,2,3,3,1,1,4,USED
584.213289177,6,3,3,1,1,9,USED
584.600531278,5,4,4,1,1,9,USED
584.686673106,8,0,4,2,2,9,USED
585.285564319,4,1,1,1,1,9,USED
589.035127545,7,0,0,1,1,6,USED
589.264742471,3,6,6,1,1,8,USED
590.493470961,1,6,6,1,1,7,USED
591.877940882,0,8,4,2,2,9,USED
592.144748858,2,1,4,2,2,9,USED
594.213289177,6,2,4,2,2,9,USED
594.600531278,5,3,6,2,2,9,USED
594.686673106,8,6,6,1,1,9,USED
595.285564319,4,2,2,1,1,7,USED
599.035127545,7,1,1,1,1,9,USED
599.264742471,3,2,2,1,1,3,USED
600.493470961,1,5,2,2,2,9,USED
601.877940882,0,1,1,1,1,9,USED
602.144748858,2,0,5,2,2,9,USED
604.213289177,6,4,4,1,1,9,USED
604.600531278,5,1,1,1,1,9,USED
604.686673106,8,2,2,1,1,9,USED
605.285564319,4,1,1,1,1,10,USED
609.035127545,7,3,3,1,2,10,USED
609.264742471,3,7,7,1,1,9,USED
610.493470961,1,8,4,2,2,9,USED
611.877940882,0,3,3,1,1,10,USED
612.144748858,2,3,3,1,1,10,USED
614.213289177,6,8,7,2,3,10,USED
614.600531278,5,2,8,2,2,10,USED
614.686673106,8,6,6,1,1,9,USED
615.285564319,4,0,0,1,1,10,USED
619.035127545,7,4,4,1,1,10,USED
619.264742471,3,1,1,1,1,3,USED
620.493470961,1,4,4,1,1,9,USED
621.877940882,0,6,5,2,2,10,USED
622.144748858,2,5,5,1,1,10,USED
624.213289177,6,3,3,1,1,9,USED
624.600531278,5,0,0,1,1,6,USED
624.686673106,8,7,7,1,1,10,USED
625.285564319,4,2,2,1,1,10,USED
629.035127545,7,0,0,1,1,6,USED
629.264742471,3,6,7,2,2,10,USED
630.493470961,1,5,2,2,2,10,USED
631.877940882,0,7,5,2,2,10,USED
632.144748858,2,3,3,1,1,10,USED
634.213289177,6,2,7,2,3,10,USED
634.600531278,5,6,6,1,1,9,USED
634.686673106,8,4,4,1,1,10,USED
635.285564319,4,0,0,1,1,10,USED
639.035127545,7,0,0,1,1,6,USED
639.264742471,3,5,4,2,2,10,USED
640.493470961,1,4,4,1,1,9,USED
641.877940882,0,7,5,2,2,10,USED
642.144748858,2,0,4,2,2,10,USED
644.213289177,6,3,3,1,1,9,USED
644.600531278,5,2,8,2,2,10,USED
644.686673106,8,3,3,1,1,5,USED
645.285564319,4,5,5,1,1,9,USED
649.035127545,7,8,4,2,2,10,USED
649.264742471,3,4,4,1,1,10,USED
650.493470961,1,2,2,1,1,10,USED
651.877940882,0,5,5,1,1,10,USED
652.144748858,2,3,3,1,1,10,USED
654.213289177,6,1,3,2,2,9,USED
654.600531278,5,3,6,2,2,9,USED
654.686673106,8,5,5,1,1,10,USED
655.285564319,4,3,3,1,1,9,USED
659.035127545,7,8,4,2,2,10,USED
659.264742471,3,2,2,1,1,3,USED
660.493470961,1,3,3,1,1,7,USED
661.877940882,0,3,3,1,1,10,USED
662.144748858,2,5,5,1,1,10,USED
664.213289177,6,1,3,2,3,11,USED
664.600531278,5,8,8,1,1,10,USED
664.686673106,8,4,4,1,1,10,USED
665.285564319,4,1,1,1,1,11,USED
669.035127545,7,0,0,1,1,6,USED
669.264742471,3,2,2,1,1,3,USED
670.493470961,1,2,2,1,1,11,USED
671.877940882,0,1,1,1,1,11,USED
672.144748858,2,4,4,1,1,10,USED
674.213289177,6,3,3,1,1,11,USED
674.600531278,5,8,8,1,1,11,USED
674.686673106,8,3,3,1,1,5,USED
675.285564319,4,1,1,1,1,11,USED
679.035127545,7,6,6,1,1,11,USED
