timestamp(s),nodeId,destination,nextHop,hops,score,seq,action
349.759718254,5,6,4,2,2,5,USED
349.958782531,7,8,8,1,1,4,USED
350.203851437,8,1,5,2,3,5,USED
350.226146913,3,7,6,2,2,5,USED
350.241123005,0,7,7,1,1,4,USED
350.460710825,4,1,1,1,1,5,USED
350.486059863,1,4,4,1,1,5,USED
350.655553857,6,4,4,1,1,5,USED
350.759718254,5,3,4,2,2,5,USED
350.958782531,7,5,5,1,1,4,USED
351.203851437,8,4,4,1,1,1,USED
351.226146913,3,7,6,2,2,5,USED
351.241123005,0,5,7,2,2,4,USED
351.460710825,4,5,5,1,1,5,USED
351.486059863,1,7,7,1,1,2,USED
351.655553857,6,8,8,1,1,4,USED
351.759718254,5,8,8,1,1,4,USED
351.958782531,7,4,4,1,1,4,USED
352.203851437,8,4,4,1,1,1,USED
352.226146913,3,4,4,1,1,5,USED
352.241123005,0,6,3,2,2,5,USED
352.460710825,4,7,7,1,1,5,USED
352.486059863,1,6,4,2,2,5,USED
352.655553857,6,1,0,2,2,5,USED
352.759718254,5,2,2,1,1,5,USED
352.958782531,7,5,5,1,1,4,USED
353.203851437,8,5,5,1,1,5,USED
353.226146913,3,8,6,2,2,5,USED
353.241123005,0,3,3,1,1,5,USED
353.460710825,4,3,3,1,1,5,USED
353.486059863,1,4,4,1,1,5,USED
353.655553857,6,7,7,1,2,5,USED
353.759718254,5,7,8,2,2,4,USED
353.958782531,7,6,6,1,1,4,USED
354.203851437,8,7,7,1,1,3,USED
354.226146913,3,4,4,1,1,5,USED
354.241123005,0,2,3,2,2,5,USED
354.460710825,4,8,8,1,1,5,USED
354.486059863,1,0,3,2,2,5,USED
354.655553857,6,4,4,1,1,5,USED
354.759718254,5,3,4,2,2,5,USED
354.958782531,7,1,3,2,2,5,USED
355.203851437,8,0,5,2,2,5,USED
355.226146913,3,7,6,2,2,5,USED
355.241123005,0,2,3,2,2,5,USED
355.460710825,4,5,5,1,1,5,USED
355.486059863,1,5,5,1,1,5,USED
355.655553857,6,3,3,1,1,5,USED
355.759718254,5,0,0,1,1,4,USED
355.958782531,7,5,5,1,1,4,USED
356.203851437,8,0,5,2,2,5,USED
356.226146913,3,0,0,1,1,5,USED
356.241123005,0,3,3,1,1,5,USED
356.366040199,2,8,5,2,3,5,USED
356.460710825,4,3,3,1,1,5,USED
356.486059863,1,7,7,1,1,2,USED
356.655553857,6,5,5,1,2,5,USED
356.759718254,5,8,8,1,1,4,USED
356.958782531,7,8,8,1,1,4,USED
357.203851437,8,3,3,1,1,1,USED
357.226146913,3,4,4,1,1,5,USED
357.241123005,0,3,3,1,1,5,USED
357.366040199,2,7,7,1,1,1,USED
357.460710825,4,0,0,1,1,4,USED
357.486059863,1,6,4,2,2,5,USED
357.655553857,6,7,7,1,2,5,USED
357.759718254,5,7,8,2,2,4,USED
357.958782531,7,6,6,1,1,4,USED
358.203851437,8,4,4,1,1,1,USED
358.226146913,3,5,6,2,2,5,USED
358.241123005,0,2,3,2,2,5,USED
358.366040199,2,0,4,2,2,5,USED
358.460710825,4,3,3,1,1,5,USED
358.486059863,1,3,3,1,1,5,USED
358.655553857,6,1,0,2,2,5,USED
358.759718254,5,8,8,1,1,4,USED
358.958782531,7,5,5,1,1,4,USED
359.203851437,8,7,7,1,1,3,USED
359.226146913,3,6,6,1,1,5,USED
359.241123005,0,4,4,1,1,5,USED
359.366040199,2,5,5,1,2,5,USED
359.460710825,4,0,0,1,1,4,USED
359.486059863,1,8,5,2,2,5,USED
359.655553857,6,3,3,1,1,5,USED
359.759718254,5,1,1,1,2,5,USED
359.958782531,7,4,4,1,1,4,USED
360.203851437,8,6,7,2,2,3,USED
360.226146913,3,7,6,2,2,5,USED
360.241123005,0,3,3,1,1,5,USED
360.366040199,2,1,1,1,1,5,USED
360.460710825,4,7,7,1,1,5,USED
360.486059863,1,2,4,2,2,5,USED
360.655553857,6,0,0,1,1,5,USED
360.759718254,5,1,1,1,2,5,USED
360.958782531,7,3,3,1,1,5,USED
361.203851437,8,1,5,2,3,5,USED
361.226146913,3,7,6,2,2,5,USED
361.241123005,0,2,3,2,2,5,USED
361.366040199,2,4,4,1,1,5,USED
361.460710825,4,3,3,1,1,5,USED
361.486059863,1,0,3,2,2,5,USED
361.655553857,6,8,8,1,1,4,USED
361.759718254,5,7,8,2,2,4,USED
361.958782531,7,0,3,2,2,5,USED
362.203851437,8,5,5,1,1,5,USED
362.226146913,3,5,6,2,2,5,USED
362.241123005,0,7,7,1,1,4,USED
362.366040199,2,3,4,2,2,5,USED
362.460710825,4,8,8,1,1,5,USED
362.486059863,1,2,4,2,2,5,USED
362.655553857,6,1,0,2,2,5,USED
362.759718254,5,3,4,2,2,5,USED
362.958782531,7,5,5,1,1,4,USED
363.203851437,8,4,4,1,1,1,USED
363.226146913,3,7,6,2,2,5,USED
363.241123005,0,2,3,2,2,5,USED
363.366040199,2,1,1,1,1,5,USED
363.460710825,4,5,5,1,1,5,USED
363.486059863,1,4,4,1,1,5,USED
363.655553857,6,2,3,2,2,5,USED
363.759718254,5,7,8,2,2,4,USED
363.958782531,7,8,8,1,1,4,USED
364.203851437,8,4,4,1,1,1,USED
364.226146913,3,1,1,1,1,5,USED
364.241123005,0,8,1,2,3,5,USED
364.366040199,2,0,4,2,2,5,USED
364.460710825,4,0,0,1,1,4,USED
364.486059863,1,8,5,2,2,5,USED
364.655553857,6,3,3,1,1,5,USED
364.759718254,5,8,8,1,1,4,USED
364.958782531,7,4,4,1,1,4,USED
365.203851437,8,3,3,1,1,1,USED
365.226146913,3,6,6,1,1,5,USED
365.241123005,0,8,1,2,3,5,USED
365.366040199,2,7,7,1,1,1,USED
365.460710825,4,2,2,1,1,5,USED
365.486059863,1,2,4,2,2,5,USED
365.655553857,6,1,0,2,2,5,USED
365.759718254,5,7,8,2,2,4,USED
365.958782531,7,0,3,2,2,5,USED
366.203851437,8,4,4,1,1,1,USED
366.226146913,3,2,2,1,1,5,USED
366.241123005,0,1,1,1,1,5,USED
366.366040199,2,8,5,2,3,5,USED
366.460710825,4,2,2,1,1,5,USED
366.486059863,1,3,3,1,1,5,USED
366.655553857,6,1,0,2,2,5,USED
366.759718254,5,0,0,1,1,4,USED
366.958782531,7,4,4,1,1,4,USED
367.203851437,8,3,3,1,1,1,USED
367.226146913,3,1,1,1,1,5,USED
367.241123005,0,8,1,2,3,5,USED
367.366040199,2,4,4,1,1,5,USED
367.460710825,4,6,6,1,1,5,USED
367.486059863,1,6,4,2,2,6,USED
367.655553857,6,7,7,1,2,5,USED
367.759718254,5,6,4,2,2,5,USED
367.958782531,7,3,3,1,1,5,USED
368.203851437,8,1,5,2,3,5,USED
368.226146913,3,8,8,1,2,6,USED
368.241123005,0,7,7,1,1,4,USED
368.366040199,2,5,5,1,2,5,USED
368.460710825,4,5,5,1,1,5,USED
368.486059863,1,2,4,2,2,6,USED
368.655553857,6,4,4,1,1,5,USED
368.759718254,5,0,0,1,1,4,USED
368.958782531,7,5,5,1,1,4,USED
369.203851437,8,1,5,2,3,5,USED
369.226146913,3,6,6,1,2,6,USED
369.241123005,0,3,3,1,1,5,USED
369.366040199,2,1,1,1,1,5,USED
369.460710825,4,1,1,1,1,5,USED
369.486059863,1,5,5,1,1,5,USED
369.655553857,6,5,5,1,2,5,USED
369.759718254,5,4,4,1,1,5,USED
369.958782531,7,3,3,1,1,5,USED
370.203851437,8,5,5,1,1,5,USED
370.226146913,3,2,2,1,1,5,USED
370.241123005,0,5,7,2,2,4,USED
370.366040199,2,3,4,2,2,5,USED
370.460710825,4,1,1,1,1,5,USED
370.486059863,1,4,4,1,1,6,USED
370.655553857,6,3,3,1,1,5,USED
370.759718254,5,2,2,1,1,5,USED
370.958782531,7,2,5,2,2,6,USED
371.203851437,8,4,4,1,1,1,USED
371.226146913,3,8,8,1,2,6,USED
371.241123005,0,8,6,2,2,6,USED
371.366040199,2,4,4,1,1,5,USED
371.460710825,4,3,3,1,1,6,USED
371.486059863,1,5,5,1,2,6,USED
371.655553857,6,5,5,1,2,5,USED
371.759718254,5,6,4,2,2,5,USED
371.958782531,7,1,3,2,2,5,USED
372.203851437,8,1,5,2,3,5,USED
372.226146913,3,6,6,1,2,6,USED
372.241123005,0,2,3,2,2,6,USED
372.366040199,2,5,5,1,2,5,USED
372.460710825,4,2,2,1,1,5,USED
372.486059863,1,8,5,2,4,6,USED
372.655553857,6,1,0,2,2,5,USED
372.759718254,5,2,2,1,1,5,USED
372.958782531,7,0,5,2,2,6,USED
373.203851437,8,4,4,1,1,1,USED
373.226146913,3,6,6,1,2,6,USED
373.241123005,0,6,6,1,1,6,USED
373.366040199,2,6,4,2,2,5,USED
373.460710825,4,2,2,1,1,5,USED
373.486059863,1,5,5,1,2,6,USED
373.655553857,6,7,7,1,1,6,USED
373.759718254,5,0,0,1,1,4,USED
373.958782531,7,0,5,2,2,6,USED
374.203851437,8,7,7,1,1,6,USED
374.226146913,3,8,8,1,2,6,USED
374.241123005,0,1,1,1,1,5,USED
374.366040199,2,0,4,2,2,5,USED
374.460710825,4,8,8,1,1,6,USED
374.486059863,1,4,4,1,1,6,USED
374.655553857,6,2,3,2,2,5,USED
374.759718254,5,6,4,2,2,5,USED
374.958782531,7,1,3,2,2,5,USED
375.203851437,8,3,3,1,1,1,USED
375.226146913,3,0,0,1,1,6,USED
375.241123005,0,7,7,1,1,4,USED
375.366040199,2,6,4,2,2,5,USED
375.460710825,4,0,0,1,1,4,USED
375.486059863,1,3,3,1,1,5,USED
375.655553857,6,2,3,2,2,5,USED
375.759718254,5,1,1,1,2,5,USED
375.958782531,7,1,3,2,2,5,USED
376.203851437,8,7,7,1,1,6,USED
376.226146913,3,8,8,1,2,6,USED
376.241123005,0,6,6,1,1,6,USED
376.366040199,2,7,7,1,1,1,USED
376.460710825,4,6,6,1,1,5,USED
376.486059863,1,6,4,2,2,6,USED
376.655553857,6,3,3,1,1,5,USED
376.759718254,5,8,8,1,2,6,USED
376.958782531,7,5,5,1,1,6,USED
377.203851437,8,1,5,2,3,5,USED
377.226146913,3,8,8,1,2,6,USED
377.241123005,0,6,6,1,1,6,USED
377.366040199,2,4,4,1,1,5,USED
377.460710825,4,7,7,1,1,6,USED
377.486059863,1,6,4,2,2,6,USED
377.655553857,6,5,7,2,2,6,USED
377.759718254,5,1,1,1,2,5,USED
377.958782531,7,2,5,2,2,6,USED
