timestamp(s),nodeId,kind,bytes,src,dst,seq,hops,sf
709.366040199,2,data,27,2,6,354,0,8
709.460710825,4,data,27,4,3,380,0,8
709.486059863,1,data,27,1,6,402,0,8
709.655553857,6,data,27,6,3,407,0,8
709.759718254,5,data,27,5,2,401,0,8
709.958782531,7,data,27,7,8,369,0,8
710.203851437,8,data,27,8,1,380,0,8
710.226146913,3,data,27,3,7,403,0,8
710.241123005,0,data,27,0,5,405,0,8
710.366040199,2,data,27,2,4,355,0,8
710.460710825,4,data,27,4,8,381,0,8
710.486059863,1,data,27,1,6,403,0,8
710.655553857,6,data,27,6,3,408,0,8
710.759718254,5,data,27,5,7,402,0,8
710.899494846,8,data,27,5,7,402,1,8
710.958782531,7,data,27,7,3,370,0,8
711.203851437,8,data,27,8,4,381,0,8
711.226146913,3,data,27,3,0,404,0,8
711.241123005,0,data,27,0,4,406,0,8
711.366040199,2,data,27,2,0,356,0,8
711.460710825,4,data,27,4,2,382,0,8
711.486059863,1,data,27,1,4,404,0,8
711.655553857,6,data,27,6,4,409,0,8
711.759718254,5,data,27,5,6,403,0,8
711.958782531,7,data,27,7,8,371,0,8
712.203851437,8,data,27,8,6,382,0,8
712.226146913,3,data,27,3,7,405,0,8
712.241123005,0,data,27,0,1,407,0,8
712.343628029,7,data,27,8,6,382,1,8
712.366040199,2,data,27,2,4,357,0,8
712.460710825,4,data,27,4,3,383,0,8
712.486059863,1,data,27,1,0,405,0,8
712.655553857,6,data,27,6,0,410,0,8
712.759718254,5,data,27,5,0,404,0,8
712.958782531,7,data,27,7,2,372,0,8
713.098559366,5,data,27,7,2,372,1,8
713.203851437,8,data,27,8,4,383,0,8
713.226146913,3,data,27,3,6,406,0,8
713.241123005,0,data,27,0,7,408,0,8
713.366040199,2,data,27,2,7,358,0,8
713.460710825,4,data,27,4,5,384,0,8
713.486059863,1,data,27,1,2,406,0,8
713.655553857,6,data,27,6,2,411,0,8
713.759718254,5,data,27,5,4,405,0,8
713.795330447,3,data,27,6,2,411,1,8
713.958782531,7,data,27,7,8,373,0,8
714.203851437,8,data,27,8,1,384,0,8
714.226146913,3,data,27,3,7,407,0,8
714.241123005,0,data,27,0,5,409,0,8
714.343628029,7,data,27,8,1,384,1,8
714.366040199,2,data,27,2,7,359,0,8
714.460710825,4,data,27,4,7,385,0,8
714.486059863,1,data,27,1,5,407,0,8
714.655553857,6,data,27,6,1,412,0,8
714.759718254,5,data,27,5,1,406,0,8
714.958782531,7,data,27,7,4,374,0,8
715.203851437,8,data,27,8,3,385,0,8
715.226146913,3,data,27,3,0,408,0,8
715.241123005,0,data,27,0,7,410,0,8
715.366040199,2,data,27,2,6,360,0,8
715.460710825,4,data,27,4,8,386,0,8
715.486059863,1,data,27,1,8,408,0,8
715.655553857,6,data,27,6,1,413,0,8
715.759718254,5,data,27,5,1,407,0,8
715.958782531,7,data,27,7,3,375,0,8
716.203851437,8,data,27,8,5,386,0,8
716.226146913,3,data,27,3,1,409,0,8
716.241123005,0,data,27,0,2,411,0,8
716.366040199,2,data,27,2,1,361,0,8
716.460710825,4,data,27,4,6,387,0,8
716.486059863,1,data,27,1,7,409,0,8
716.655553857,6,data,27,6,5,414,0,8
716.759718254,5,data,27,5,4,408,0,8
716.958782531,7,data,27,7,4,376,0,8
717.203851437,8,data,27,8,3,387,0,8
717.226146913,3,data,27,3,5,410,0,8
717.241123005,0,data,27,0,4,412,0,8
717.366040199,2,data,27,2,8,362,0,8
717.460710825,4,data,27,4,1,388,0,8
717.486059863,1,data,27,1,7,410,0,8
717.655553857,6,data,27,6,5,415,0,8
717.759718254,5,data,27,5,2,409,0,8
717.795330447,7,data,27,6,5,415,1,8
717.958782531,7,data,27,7,6,377,0,8
718.203851437,8,data,27,8,1,388,0,8
718.226146913,3,data,27,3,1,411,0,8
718.241123005,0,data,27,0,4,413,0,8
718.343628029,7,data,27,8,1,388,1,8
718.366040199,2,data,27,2,8,363,0,8
718.460710825,4,data,27,4,2,389,0,8
718.486059863,1,data,27,1,8,411,0,8
718.655553857,6,data,27,6,2,416,0,8
718.759718254,5,data,27,5,7,410,0,8
718.958782531,7,data,27,7,3,378,0,8
719.203851437,8,data,27,8,7,389,0,8
719.226146913,3,data,27,3,0,412,0,8
719.241123005,0,data,27,0,3,414,0,8
719.366040199,2,data,27,2,8,364,0,8
719.460710825,4,data,27,4,3,390,0,8
719.486059863,1,data,27,1,8,412,0,8
719.655553857,6,data,27,6,1,417,0,8
719.759718254,5,data,27,5,3,411,0,8
719.958782531,7,data,27,7,3,379,0,8
720.203851437,8,data,27,8,3,390,0,8
720.226146913,3,data,27,3,7,413,0,8
720.241123005,0,data,27,0,3,415,0,8
720.366040199,2,data,27,2,4,365,0,8
720.460710825,4,data,27,4,2,391,0,8
720.486059863,1,data,27,1,7,413,0,8
720.655553857,6,data,27,6,5,418,0,8
720.759718254,5,data,27,5,4,412,0,8
720.795330447,7,data,27,6,5,418,1,8
720.958782531,7,data,27,7,8,380,0,8
721.203851437,8,data,27,8,7,391,0,8
721.226146913,3,data,27,3,4,414,0,8
721.241123005,0,data,27,0,8,416,0,8
721.366040199,2,data,27,2,3,366,0,8
721.460710825,4,data,27,4,0,392,0,8
721.486059863,1,data,27,1,6,414,0,8
721.655553857,6,data,27,6,4,419,0,8
721.759718254,5,data,27,5,0,413,0,8
721.958782531,7,data,27,7,5,381,0,8
722.203851437,8,data,27,8,3,392,0,8
722.226146913,3,data,27,3,1,415,0,8
722.241123005,0,data,27,0,8,417,0,8
722.366040199,2,data,27,2,0,367,0,8
722.460710825,4,data,27,4,6,393,0,8
722.486059863,1,data,27,1,4,415,0,8
722.655553857,6,data,27,6,0,420,0,8
722.759718254,5,data,27,5,7,414,0,8
722.958782531,7,data,27,7,3,382,0,8
723.203851437,8,data,27,8,4,393,0,8
723.205627681,2,beacon,30,2,65535,13,0,7
723.226146913,3,data,27,3,0,416,0,8
723.241123005,0,data,27,0,1,418,0,8
723.366040199,2,data,27,2,7,368,0,8
723.460710825,4,data,27,4,2,394,0,8
723.486059863,1,data,27,1,2,416,0,8
723.655553857,6,data,27,6,1,421,0,8
723.759718254,5,data,27,5,3,415,0,8
723.899494846,8,data,27,5,3,415,1,8
723.958782531,7,data,27,7,1,383,0,8
724.203851437,8,data,27,8,3,394,0,8
724.226146913,3,data,27,3,2,417,0,8
724.241123005,0,data,27,0,7,419,0,8
724.366040199,2,data,27,2,5,369,0,8
724.460710825,4,data,27,4,5,395,0,8
724.486059863,1,data,27,1,6,417,0,8
724.655553857,6,data,27,6,4,422,0,8
724.759718254,5,data,27,5,6,416,0,8
724.899494844,4,data,27,5,6,416,1,8
724.958782531,7,data,27,7,1,384,0,8
725.203851437,8,data,27,8,5,395,0,8
725.226146913,3,data,27,3,1,418,0,8
725.241123005,0,data,27,0,4,420,0,8
725.366040199,2,data,27,2,5,370,0,8
725.460710825,4,data,27,4,2,396,0,8
725.486059863,1,data,27,1,4,418,0,8
725.655553857,6,data,27,6,7,423,0,8
725.759718254,5,data,27,5,8,417,0,8
725.958782531,7,data,27,7,2,385,0,8
726.060164480,4,beacon,30,4,65535,13,0,7
726.098559366,5,data,27,7,2,385,1,8
726.203851437,8,data,27,8,0,396,0,8
726.226146913,3,data,27,3,6,419,0,8
726.241123005,0,data,27,0,7,421,0,8
726.366040199,2,data,27,2,7,371,0,8
726.422851395,0,beacon,30,0,65535,13,0,7
726.460710825,4,data,27,4,1,397,0,8
726.486059863,1,data,27,1,4,419,0,8
726.655553857,6,data,27,6,5,424,0,8
726.759718254,5,data,27,5,7,418,0,8
726.958782531,7,data,27,7,2,386,0,8
727.203851437,8,data,27,8,3,397,0,8
727.226146913,3,data,27,3,0,420,0,8
727.241123005,0,data,27,0,4,422,0,8
727.366040199,2,data,27,2,5,372,0,8
727.460710825,4,data,27,4,0,398,0,8
727.486059863,1,data,27,1,0,420,0,8
727.655553857,6,data,27,6,5,425,0,8
727.759718254,5,data,27,5,0,419,0,8
727.795330447,7,data,27,6,5,425,1,8
727.815809857,6,beacon,30,6,65535,13,0,7
727.931177313,1,beacon,30,1,65535,13,0,7
727.958782531,7,data,27,7,3,387,0,8
728.129722679,8,beacon,30,8,65535,13,0,7
728.225210679,8,data,27,8,3,398,0,8
728.226146913,3,data,27,3,2,421,0,8
728.241123005,0,data,27,0,6,423,0,8
728.366040199,2,data,27,2,1,373,0,8
728.460710825,4,data,27,4,5,399,0,8
728.486059863,1,data,27,1,3,421,0,8
728.655553857,6,data,27,6,3,426,0,8
728.759718254,5,data,27,5,6,420,0,8
728.958782531,7,data,27,7,2,388,0,8
729.098559366,5,data,27,7,2,388,1,8
729.203851437,8,data,27,8,0,399,0,8
729.226146913,3,data,27,3,0,422,0,8
729.241123005,0,data,27,0,6,424,0,8
729.366040199,2,data,27,2,4,374,0,8
729.460710825,4,data,27,4,7,400,0,8
729.486059863,1,data,27,1,8,422,0,8
729.655553857,6,data,27,6,2,427,0,8
729.759718254,5,data,27,5,8,421,0,8
729.795330447,3,data,27,6,2,427,1,8
729.958782531,7,data,27,7,0,389,0,8
730.098559121,6,data,27,7,0,389,1,8
730.179680522,5,beacon,30,5,65535,13,0,8
730.203851437,8,data,27,8,5,400,0,8
730.226146913,3,data,27,3,4,423,0,8
730.241123005,0,data,27,0,2,425,0,8
730.366040199,2,data,27,2,3,375,0,8
730.460710825,4,data,27,4,8,401,0,8
730.486059863,1,data,27,1,8,423,0,8
730.655553857,6,data,27,6,3,428,0,8
